# production index -> name -> callable -> rule str
208	print_tab	p_print_list_tab	print_tab -> TAB expr
209	statement	p_on_goto	statement -> ON expr goto label_list
210	label_list	p_label_list	label_list -> ID
211	label_list	p_label_list	label_list -> NUMBER
212	label_list	p_label_list_list	label_list -> label_list COMMA ID
213	label_list	p_label_list_list	label_list -> label_list COMMA NUMBER
214	statement	p_return	statement -> RETURN
215	statement	p_return_expr	statement -> RETURN expr
216	statement	p_pause	statement -> PAUSE expr
217	statement	p_poke	statement -> POKE expr COMMA expr
218	statement	p_poke	statement -> POKE LP expr COMMA expr RP
219	statement	p_poke2	statement -> POKE numbertype expr COMMA expr
220	statement	p_poke2	statement -> POKE LP numbertype expr COMMA expr RP
221	statement	p_poke3	statement -> POKE numbertype COMMA expr COMMA expr
222	statement	p_poke3	statement -> POKE LP numbertype COMMA expr COMMA expr RP
223	statement	p_out	statement -> OUT expr COMMA expr
224	statement	p_simple_instruction	statement -> ITALIC expr
225	statement	p_simple_instruction	statement -> BOLD expr
226	statement	p_simple_instruction	statement -> INK expr
227	statement	p_simple_instruction	statement -> PAPER expr
228	statement	p_simple_instruction	statement -> BRIGHT expr
229	statement	p_simple_instruction	statement -> FLASH expr
230	statement	p_simple_instruction	statement -> OVER expr
231	statement	p_simple_instruction	statement -> INVERSE expr
232	statement	p_save_code	statement -> SAVE expr CODE expr COMMA expr
233	statement	p_save_code	statement -> SAVE expr ID
234	statement	p_save_code	statement -> SAVE expr ARRAY_ID
235	statement	p_save_data	statement -> SAVE expr DATA
236	statement	p_save_data	statement -> SAVE expr DATA ID
237	statement	p_save_data	statement -> SAVE expr DATA ID LP RP
238	load_or_verify	p_load_or_verify	load_or_verify -> LOAD
239	load_or_verify	p_load_or_verify	load_or_verify -> VERIFY
240	statement	p_load_code	statement -> load_or_verify expr ID
241	statement	p_load_code	statement -> load_or_verify expr CODE
242	statement	p_load_code	statement -> load_or_verify expr CODE expr
243	statement	p_load_code	statement -> load_or_verify expr CODE expr COMMA expr
244	statement	p_load_data	statement -> load_or_verify expr DATA
245	statement	p_load_data	statement -> load_or_verify expr DATA ID
246	statement	p_load_data	statement -> load_or_verify expr DATA ID LP RP
247	numbertype	p_numbertype	numbertype -> BYTE
248	numbertype	p_numbertype	numbertype -> UBYTE
249	numbertype	p_numbertype	numbertype -> INTEGER
250	numbertype	p_numbertype	numbertype -> UINTEGER
251	numbertype	p_numbertype	numbertype -> LONG
252	numbertype	p_numbertype	numbertype -> ULONG
253	numbertype	p_numbertype	numbertype -> FIXED
254	numbertype	p_numbertype	numbertype -> FLOAT
255	expr	p_expr_plus_expr	expr -> expr PLUS expr
256	expr	p_expr_minus_expr	expr -> expr MINUS expr
257	expr	p_expr_mul_expr	expr -> expr MUL expr
258	expr	p_expr_div_expr	expr -> expr DIV expr
259	expr	p_expr_mod_expr	expr -> expr MOD expr
260	expr	p_expr_pow_expr	expr -> expr POW expr
261	expr	p_expr_shl_expr	expr -> expr SHL expr
262	expr	p_expr_shr_expr	expr -> expr SHR expr
263	expr	p_minus_expr	expr -> MINUS expr
264	expr	p_expr_EQ_expr	expr -> expr EQ expr
265	expr	p_expr_LT_expr	expr -> expr LT expr
266	expr	p_expr_LE_expr	expr -> expr LE expr
267	expr	p_expr_GT_expr	expr -> expr GT expr
268	expr	p_expr_GE_expr	expr -> expr GE expr
269	expr	p_expr_NE_expr	expr -> expr NE expr
270	expr	p_expr_OR_expr	expr -> expr OR expr
271	expr	p_expr_BOR_expr	expr -> expr BOR expr
272	expr	p_expr_XOR_expr	expr -> expr XOR expr
273	expr	p_expr_BXOR_expr	expr -> expr BXOR expr
